latitude,longitude
6727098.970027379,11464236.614631485
6726848.470324467,11464190.284125973
6726624.022594659,11464126.54865424
6726598.293267593,11464048.85843164
6726463.489597425,11464106.258550312
6726421.705790775,11463951.819046808
6726636.364660952,11463860.826030374
6726657.592917453,11464079.577989185
6726420.86133909,11464169.74192347
6726133.943602195,11464162.74442403
6726506.357177786,11464098.45638118
6726634.891681711,11464049.191146696
6726767.697160557,11464592.135575576
6726629.043302636,11464075.357858507
6727370.210770312,11464634.155782599
6727064.588174749,11464213.51626939
6726839.963546141,11464164.622589942
6726591.792746621,11464107.718727456
6726473.170214157,11464152.608302351
6726344.843259866,11464282.664478913
6726747.425372996,11464499.631230937
6728074.823193001,11460532.965465764
6728213.826571205,11460277.132978445
6728316.191965351,11460081.701971257
6728450.843265434,11459907.979275078
6728257.888228747,11459740.991469039
6728026.947394141,11459651.376580527
6727772.789550284,11459546.992398228
6727541.903355109,11459443.23260411
6727292.28585764,11459339.272289759
6727039.371619457,11459235.581905883
6726784.866260947,11459127.688342385
6726555.621911342,11459027.611518938
6726285.821488735,11458905.788699314
6726020.21971646,11458728.27200215
6725846.012209131,11458450.031823358
6725694.549662259,11458220.186721904
6725502.125929365,11458096.544371303
6725291.799364468,11458005.271277694
6725103.78731882,11457865.105860382
6724964.510493939,11457640.923341224
6724762.751611006,11457506.79800791
6724531.523990002,11457371.051926265
6724604.448522232,11457041.263253136
6724648.39690226,11456898.621078808
6724763.931558558,11456634.403543627
6724882.093686765,11456286.619726224
6724946.9690760095,11456216.487446984
6725223.364794963,11456320.975296542
6725463.194325181,11456293.543797698
6725598.253795632,11456120.961393762
6725484.170745591,11455985.510144828
6725662.750252042,11456040.685018547
6725820.109697087,11456073.651311142
6725776.201668779,11456192.908782516
6725694.553228383,11456224.269358424
6725720.581167564,11456238.869727433
6725840.9239006145,11456201.12398541
6726061.838693514,11456245.789497802
6726291.097033592,11456331.037989434
6726523.67759091,11456368.592143277
6726748.784554984,11456362.012076888
6726875.138358477,11456190.100044541
6726830.809973694,11455974.929525193
6726824.984217853,11456017.872982346
6726858.906020189,11456278.698588047
6726751.2047624225,11456330.853482518
6726649.583817699,11456058.425376656
6726546.450418151,11455855.697483305
6726447.112235139,11455648.782929575
6726340.891888792,11455435.030258486
6726240.571080648,11455221.533805469
6726128.054570405,11455003.61116053
6725995.3880683165,11454828.375851752
6725785.053654186,11454687.754040131
