latitude,longitude
6725883.382924296,11462060.81544596
6725977.441001065,11461806.81645917
6726039.519762128,11461578.194442512
6726105.182126116,11461329.9656064
6726183.870721956,11461100.080389706
6726275.582079517,11460874.662133932
6726350.0279735895,11460659.873211026
6726432.691682572,11460427.843975345
6726505.987409998,11460202.91869602
6726592.638375489,11459951.280349871
6726743.452823197,11459827.590926874
6725277.13822852,11457688.337813498
6725159.487362887,11457469.352596167
6726589.432999466,11459837.13138427
6726440.665989779,11460080.187439408
6726356.152931594,11460308.088685028
6726275.86079819,11460523.38847044
6726189.604507338,11460747.713437166
6726095.499991212,11460994.237909116
6725890.240316749,11461006.751050813
6725659.287195299,11460943.110140648
6725428.111878138,11460861.696231648
6725196.276974523,11460839.136214914
6725063.098507362,11461078.304046093
6724979.253145653,11461314.6962628
6724892.916363034,11461530.395574398
6724821.510474284,11461772.228428354
6724737.653007155,11462002.447068172
6724641.565197582,11462227.384694664
6724469.002500232,11462304.047818515
6724252.416584886,11462223.668705031
6724019.015827818,11462139.478402095
6723806.763370101,11462051.250739213
6723566.795856958,11461954.609061426
6723324.243775411,11461930.471949851
6723219.4005695125,11462143.033294475
6722494.773525648,11461444.804101575
6722260.951408954,11461439.288782127
6722043.089397861,11461362.98993212
6721831.072021519,11461312.472300759
6721820.522966591,11461313.30203668
6722104.005662302,11461161.731454542
6722131.658157147,11461044.84698096
6721993.94070011,11461091.987683838
6722255.590917667,11461117.523970574
6722022.562559078,11461234.850850202
6721849.145254657,11461364.111219153
6721804.965616072,11461456.484609116
6721844.410133306,11461342.635518786
6721834.781245423,11461297.155280434
6721983.994974509,11461253.407158714
6721826.428304958,11461331.177924488
6721842.720952219,11461436.058229124
6721804.431218421,11461408.348230943
6721816.77255136,11461259.12851109
6736297.248260705,11472499.25621175
6736191.636455047,11472684.671368657
6736115.58554066,11472787.501837656
6736249.253590884,11473098.438627664
6736195.338398687,11473320.548549151
6736124.574067602,11473556.590926088
6736044.511391378,11473759.525041023
6735960.884862405,11473974.06522224
6735873.177862888,11474193.68559655
6735794.932084984,11474411.889222203
6735716.877407253,11474640.644113557
6735626.2563426215,11474881.9673382
6735563.988384117,11475086.80456332
6735504.973239299,11475251.03828952
6735837.189145686,11475416.620732423
6736158.058719186,11475514.197269505
6736374.6190081425,11475593.301354578
6736616.111888454,11475649.178220775
6736811.959139352,11475616.846036764
