latitude,longitude,altitude,dayCount,date,time,time_region,datetime_region,delta_timestamp,items_number,people_id,name,new_class,new_mark,AOI_Probabilities,Probabilities,POI_total,road_mark
39.97620725,116.33063475,492.0333833661418,40402.619531250006,2010-08-12,14:52:07,40402.61944444-40402.61961806,'2010-08-12 14:52:00'-'2010-08-12 14:52:15',0.00017362,4,67,鍟嗗姟鍐欏瓧妤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97700225925925,116.33048892592592,493.7229708612813,40402.62042824075,2010-08-12,14:53:25,40402.61967593-40402.62118056,'2010-08-12 14:52:20'-'2010-08-12 14:54:30',0.00150463,27,67,鍟嗕綇涓ょ敤妤煎畤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97611526530611,116.33059669387752,463.7508978788367,40402.62248984316,2010-08-12,14:56:23,40402.62123843-40402.62366898,'2010-08-12 14:54:35'-'2010-08-12 14:58:05',0.00243055,49,67,鍟嗗姟鍐欏瓧妤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.977050425,116.330366675,650.4676298392388,40402.64040914352,2010-08-12,15:22:11,40402.63778935-40402.6415625,'2010-08-12 15:18:25'-'2010-08-12 15:23:51',0.00377315,40,67,鍟嗕綇涓ょ敤妤煎畤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97787199999999,116.32904708,382.6245738845144,40402.64231481482,2010-08-12,15:24:56,40402.64162037-40402.64300926,'2010-08-12 15:23:56'-'2010-08-12 15:25:56',0.00138889,25,67,鍟嗕綇涓ょ敤妤煎畤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.979300469879526,116.32868343373497,186.02077562217377,40402.64534220216,2010-08-12,15:29:17,40402.64306713-40402.64752315,'2010-08-12 15:26:01'-'2010-08-12 15:32:26',0.00445602,83,67,浜т笟鍥鍖,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97974003846154,116.32844965384616,187.42334784474065,40402.64853276355,2010-08-12,15:33:53,40402.64763889-40402.64925926,'2010-08-12 15:32:36'-'2010-08-12 15:34:56',0.00162037,26,67,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",4,[0]
39.977917360000006,116.32904796,241.75506679790035,40402.65001157409,2010-08-12,15:36:01,40402.64931713-40402.65070602,'2010-08-12 15:35:01'-'2010-08-12 15:37:01',0.00138889,25,67,鍟嗕綇涓ょ敤妤煎畤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.977774450000005,116.33086735,265.9204737532809,40402.65131365739,2010-08-12,15:37:53,40402.65076389-40402.65186343,'2010-08-12 15:37:06'-'2010-08-12 15:38:41',0.00109954,20,67,鍟嗕綇涓ょ敤妤煎畤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97792689473684,116.33222789473685,288.4532621909104,40402.65244212963,2010-08-12,15:39:31,40402.6519213-40402.65296296,'2010-08-12 15:38:46'-'2010-08-12 15:40:16',0.00104166,19,67,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]",2,[0]
39.983276,116.329614,-21.2040715223097,40402.6537731481,2010-08-12,15:41:26,40402.65377315-40402.65377315,'2010-08-12 15:41:26'-'2010-08-12 15:41:26',0.0,1,67,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0,[0]
39.97770636134455,116.3326453109244,226.40787644191536,40402.65698140366,2010-08-12,15:46:03,40402.65383102-40402.66077546,'2010-08-12 15:41:31'-'2010-08-12 15:51:31',0.00694444,119,67,瀹鹃嗛厭搴,閰掑簵浣忓,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
39.97770636134455,116.3326453109244,226.40787644191536,40402.65698140366,2010-08-12,15:46:03,40402.65383102-40402.66077546,'2010-08-12 15:41:31'-'2010-08-12 15:51:31',0.00694444,119,67,鍟嗗姟鍐欏瓧妤,鍟嗗姟浣忓畢,11.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,[0]
