latitude,longitude,default,altitude,dayCount,date,time,datetime,time_region,datetime_region,delta_timestamp,items_number,people_id
39.859541476923056,116.38029956153842,0,988.2974358974359,39759.37299501425,2008-11-07,8:57:06,2008-11-07 8:57:06,39759.37065972-39759.37423611,'2008-11-07 08:53:45'-'2008-11-07 08:58:54',0.00357639,39,019
39.8601733,116.37951,0,974.4,39759.3742824074,2008-11-07,8:58:58,2008-11-07 8:58:58,39759.37428241-39759.37428241,'2008-11-07 08:58:58'-'2008-11-07 08:58:58',0.0,1,019
39.8603999,116.3797,0,971.1,39759.3742939815,2008-11-07,8:58:59,2008-11-07 8:58:59,39759.37429398-39759.37429398,'2008-11-07 08:58:59'-'2008-11-07 08:58:59',0.0,1,019
39.86028072089553,116.37967867761196,0,942.0805970149258,39759.37619834854,2008-11-07,9:01:43,2008-11-07 9:01:43,39759.37430556-39759.38020833,'2008-11-07 08:59:00'-'2008-11-07 09:07:30',0.00590277,67,019
39.8594383,116.3811899,0,846.5,39759.3802199074,2008-11-07,9:07:31,2008-11-07 9:07:31,39759.38021991-39759.38021991,'2008-11-07 09:07:31'-'2008-11-07 09:07:31',0.0,1,019
39.859691600000005,116.3807641,0,861.2,39759.3802604167,2008-11-07,9:07:34,2008-11-07 9:07:34,39759.38023148-39759.38028935,'2008-11-07 09:07:32'-'2008-11-07 09:07:37',5.787e-05,2,019
39.8601349,116.3798933,0,869.4,39759.3803009259,2008-11-07,9:07:38,2008-11-07 9:07:38,39759.38030093-39759.38030093,'2008-11-07 09:07:38'-'2008-11-07 09:07:38',0.0,1,019
39.8601599,116.3796549,0,876.0,39759.3803125,2008-11-07,9:07:39,2008-11-07 9:07:39,39759.3803125-39759.3803125,'2008-11-07 09:07:39'-'2008-11-07 09:07:39',0.0,1,019
39.8601066,116.3794166,0,879.3,39759.3803240741,2008-11-07,9:07:40,2008-11-07 9:07:40,39759.38032407-39759.38032407,'2008-11-07 09:07:40'-'2008-11-07 09:07:40',0.0,1,019
39.8599966,116.3791533,0,879.3,39759.3803356481,2008-11-07,9:07:41,2008-11-07 9:07:41,39759.38033565-39759.38033565,'2008-11-07 09:07:41'-'2008-11-07 09:07:41',0.0,1,019
39.8599833,116.3788783,0,882.5,39759.3803472222,2008-11-07,9:07:42,2008-11-07 9:07:42,39759.38034722-39759.38034722,'2008-11-07 09:07:42'-'2008-11-07 09:07:42',0.0,1,019
39.85996,116.3787066,0,885.8,39759.3803587963,2008-11-07,9:07:43,2008-11-07 9:07:43,39759.3803588-39759.3803588,'2008-11-07 09:07:43'-'2008-11-07 09:07:43',0.0,1,019
39.8599433,116.3785633,0,885.8,39759.3803703704,2008-11-07,9:07:44,2008-11-07 9:07:44,39759.38037037-39759.38037037,'2008-11-07 09:07:44'-'2008-11-07 09:07:44',0.0,1,019
39.8599416,116.3784116,0,889.1,39759.3803819444,2008-11-07,9:07:45,2008-11-07 9:07:45,39759.38038194-39759.38038194,'2008-11-07 09:07:45'-'2008-11-07 09:07:45',0.0,1,019
39.85992,116.3782966,0,892.4,39759.3803935185,2008-11-07,9:07:46,2008-11-07 9:07:46,39759.38039352-39759.38039352,'2008-11-07 09:07:46'-'2008-11-07 09:07:46',0.0,1,019
39.85989,116.3782,0,892.4,39759.3804050926,2008-11-07,9:07:47,2008-11-07 9:07:47,39759.38040509-39759.38040509,'2008-11-07 09:07:47'-'2008-11-07 09:07:47',0.0,1,019
39.85986,116.3781149,0,892.4,39759.3804166667,2008-11-07,9:07:48,2008-11-07 9:07:48,39759.38041667-39759.38041667,'2008-11-07 09:07:48'-'2008-11-07 09:07:48',0.0,1,019
39.8598133,116.3780216,0,895.7,39759.3804282407,2008-11-07,9:07:49,2008-11-07 9:07:49,39759.38042824-39759.38042824,'2008-11-07 09:07:49'-'2008-11-07 09:07:49',0.0,1,019
39.85985273333333,116.37823659999998,0,896.7888888888888,39759.38060828189,2008-11-07,9:08:04,2008-11-07 9:08:04,39759.38043981-39759.38075231,'2008-11-07 09:07:50'-'2008-11-07 09:08:17',0.0003125,9,019
39.86052,116.3794716,0,885.8,39759.3807638889,2008-11-07,9:08:18,2008-11-07 9:08:18,39759.38076389-39759.38076389,'2008-11-07 09:08:18'-'2008-11-07 09:08:18',0.0,1,019
39.8606949,116.3796166,0,882.5,39759.380775463,2008-11-07,9:08:19,2008-11-07 9:08:19,39759.38077546-39759.38077546,'2008-11-07 09:08:19'-'2008-11-07 09:08:19',0.0,1,019
39.860815,116.3797066,0,882.5,39759.380787037,2008-11-07,9:08:20,2008-11-07 9:08:20,39759.38078704-39759.38078704,'2008-11-07 09:08:20'-'2008-11-07 09:08:20',0.0,1,019
39.8609166,116.37979,0,882.5,39759.3807986111,2008-11-07,9:08:21,2008-11-07 9:08:21,39759.38079861-39759.38079861,'2008-11-07 09:08:21'-'2008-11-07 09:08:21',0.0,1,019
39.86107,116.3798683,0,882.5,39759.3808101852,2008-11-07,9:08:22,2008-11-07 9:08:22,39759.38081019-39759.38081019,'2008-11-07 09:08:22'-'2008-11-07 09:08:22',0.0,1,019
39.8612466,116.3799366,0,882.5,39759.3808217593,2008-11-07,9:08:23,2008-11-07 9:08:23,39759.38082176-39759.38082176,'2008-11-07 09:08:23'-'2008-11-07 09:08:23',0.0,1,019
