latitude,longitude,default,altitude,dayCount,date,time,datetime,time_region,datetime_region,delta_timestamp,items_number,people_id
39.98075126666667,116.34536259999999,0,83.0,39746.59922376543,2008-10-25,14:22:52,2008-10-25 14:22:52,39746.59861111-39746.59960648,'2008-10-25 14:22:00'-'2008-10-25 14:23:26',0.00099537,15,007
39.96602953846154,115.9842655769231,0,535.1153846153846,39747.09567930912,2008-10-26,2:17:46,2008-10-26 2:17:46,39747.09472222-39747.09657407,'2008-10-26 02:16:24'-'2008-10-26 02:19:04',0.00185185,26,007
39.96476496296297,115.9837807037037,0,519.4814814814815,39747.09738425928,2008-10-26,2:20:14,2008-10-26 2:20:14,39747.09663194-39747.09813657,'2008-10-26 02:19:09'-'2008-10-26 02:21:19',0.00150463,27,007
39.9635842,115.98301912,0,542.8,39747.09888888887,2008-10-26,2:22:24,2008-10-26 2:22:24,39747.09819444-39747.09958333,'2008-10-26 02:21:24'-'2008-10-26 02:23:24',0.00138889,25,007
39.96235254166667,115.98233441666667,0,592.4166666666666,39747.10030671295,2008-10-26,2:24:26,2008-10-26 2:24:26,39747.0996412-39747.10097222,'2008-10-26 02:23:29'-'2008-10-26 02:25:24',0.00133102,24,007
39.96095539285715,115.98211589285712,0,649.5,39747.101789847875,2008-10-26,2:26:34,2008-10-26 2:26:34,39747.10103009-39747.10253472,'2008-10-26 02:25:29'-'2008-10-26 02:27:39',0.00150463,28,007
39.959850271186426,115.98150105084744,0,672.7457627118644,39747.10412762867,2008-10-26,2:29:56,2008-10-26 2:29:56,39747.10259259-39747.10565972,'2008-10-26 02:27:44'-'2008-10-26 02:32:09',0.00306713,59,007
39.9584826923077,115.98059530769228,0,722.8076923076923,39747.10644097222,2008-10-26,2:33:16,2008-10-26 2:33:16,39747.10571759-39747.10716435,'2008-10-26 02:32:14'-'2008-10-26 02:34:19',0.00144676,26,007
39.95740929629631,115.97948351851855,0,703.7037037037037,39747.10797453703,2008-10-26,2:35:29,2008-10-26 2:35:29,39747.10722222-39747.10872685,'2008-10-26 02:34:24'-'2008-10-26 02:36:34',0.00150463,27,007
39.95666858823529,115.97825661764705,0,885.0588235294117,39747.10973958332,2008-10-26,2:38:01,2008-10-26 2:38:01,39747.10878472-39747.11069444,'2008-10-26 02:36:39'-'2008-10-26 02:39:24',0.00190972,34,007
39.95593425925926,115.97710892592595,0,940.3703703703703,39747.11150462963,2008-10-26,2:40:34,2008-10-26 2:40:34,39747.11075231-39747.11225694,'2008-10-26 02:39:29'-'2008-10-26 02:41:39',0.00150463,27,007
39.95454121052632,115.97742260526317,0,933.6578947368421,39747.11331414475,2008-10-26,2:43:10,2008-10-26 2:43:10,39747.11231481-39747.11434028,'2008-10-26 02:41:44'-'2008-10-26 02:44:39',0.00202547,38,007
39.95316708333334,115.97661572222222,0,964.7222222222222,39747.115395769026,2008-10-26,2:46:10,2008-10-26 2:46:10,39747.11439815-39747.11636574,'2008-10-26 02:44:44'-'2008-10-26 02:47:34',0.00196759,36,007
39.952211911111114,115.97581155555555,0,968.7111111111111,39747.11769675925,2008-10-26,2:49:29,2008-10-26 2:49:29,39747.11642361-39747.11896991,'2008-10-26 02:47:39'-'2008-10-26 02:51:19',0.0025463,45,007
39.95105185106384,115.9765548510639,0,1082.1489361702127,39747.120280240335,2008-10-26,2:53:12,2008-10-26 2:53:12,39747.11902778-39747.12157407,'2008-10-26 02:51:24'-'2008-10-26 02:55:04',0.00254629,47,007
39.950122,115.97515302631581,0,1079.0263157894738,39747.12267300194,2008-10-26,2:56:38,2008-10-26 2:56:38,39747.12163194-39747.12371528,'2008-10-26 02:55:09'-'2008-10-26 02:58:09',0.00208334,38,007
39.94872765714287,115.97465108571429,0,1106.8285714285714,39747.12471428572,2008-10-26,2:59:35,2008-10-26 2:59:35,39747.12377315-39747.125625,'2008-10-26 02:58:14'-'2008-10-26 03:00:54',0.00185185,35,007
39.94733673333334,115.97489816666665,0,1096.8,39747.12652199073,2008-10-26,3:02:11,2008-10-26 3:02:11,39747.12568287-39747.12736111,'2008-10-26 03:00:59'-'2008-10-26 03:03:24',0.00167824,30,007
39.94669021428571,115.97596963265306,0,1141.734693877551,39747.13016121033,2008-10-26,3:07:25,2008-10-26 3:07:25,39747.12741898-39747.1328588,'2008-10-26 03:03:29'-'2008-10-26 03:11:19',0.00543982,98,007
39.94548025,115.9768871388889,0,1106.9444444444443,39747.13397794493,2008-10-26,3:12:55,2008-10-26 3:12:55,39747.13291667-39747.13986111,'2008-10-26 03:11:24'-'2008-10-26 03:21:24',0.00694444,36,007
39.944705580645156,115.97781575268817,0,1176.989247311828,39747.142287186354,2008-10-26,3:24:53,2008-10-26 3:24:53,39747.13991898-39747.14478009,'2008-10-26 03:21:29'-'2008-10-26 03:28:29',0.00486111,93,007
39.9455140689655,115.97966932758627,0,1250.896551724138,39747.14648726853,2008-10-26,3:30:56,2008-10-26 3:30:56,39747.14483796-39747.14813657,'2008-10-26 03:28:34'-'2008-10-26 03:33:19',0.00329861,58,007
39.945729867469865,115.98179037349401,0,1290.2771084337348,39747.15048304327,2008-10-26,3:36:41,2008-10-26 3:36:41,39747.14819444-39747.15270833,'2008-10-26 03:33:24'-'2008-10-26 03:39:54',0.00451389,83,007
39.945080303278694,115.98263697540986,0,1388.3196721311476,39747.15625863312,2008-10-26,3:45:00,2008-10-26 3:45:00,39747.1527662-39747.15971065,'2008-10-26 03:39:59'-'2008-10-26 03:49:59',0.00694445,122,007
39.94411890361446,115.98137325301198,0,1462.879518072289,39747.16192687417,2008-10-26,3:53:10,2008-10-26 3:53:10,39747.15976852-39747.16416667,'2008-10-26 03:50:04'-'2008-10-26 03:56:24',0.00439815,83,007
39.94260621538462,115.98238390769231,0,1469.0615384615385,39747.16597560539,2008-10-26,3:59:00,2008-10-26 3:59:00,39747.16422454-39747.16775463,'2008-10-26 03:56:29'-'2008-10-26 04:01:34',0.00353009,65,007
39.94178262500001,115.98118349999999,0,1628.5384615384614,39747.17063601764,2008-10-26,4:05:42,2008-10-26 4:05:42,39747.1678125-39747.17336806,'2008-10-26 04:01:39'-'2008-10-26 04:09:39',0.00555556,104,007
39.9442656,115.98156800000001,0,1976.0,39747.17354166666,2008-10-26,4:09:54,2008-10-26 4:09:54,39747.17342593-39747.17365741,'2008-10-26 04:09:44'-'2008-10-26 04:10:04',0.00023148,5,007
39.9446506,115.9817578,0,2070.266666666667,39747.17412037038,2008-10-26,4:10:44,2008-10-26 4:10:44,39747.17371528-39747.17452546,'2008-10-26 04:10:09'-'2008-10-26 04:11:19',0.00081018,15,007
39.9427055,115.982904875,0,1921.0,39747.17478587963,2008-10-26,4:11:41,2008-10-26 4:11:41,39747.17458333-39747.17498843,'2008-10-26 04:11:24'-'2008-10-26 04:11:59',0.0004051,8,007
39.94277486249998,115.98369173750004,0,1665.5625,39747.17726519098,2008-10-26,4:15:15,2008-10-26 4:15:15,39747.1750463-39747.17938657,'2008-10-26 04:12:04'-'2008-10-26 04:18:19',0.00434027,80,007
