latitude,longitude,default,altitude,dayCount,date,time,datetime,time_region,datetime_region,delta_timestamp,items_number,people_id
40.00352027272728,116.32147490909091,0,221.0,39745.17563657407,2008-10-24,4:12:55,2008-10-24 4:12:55,39745.17534722-39745.17592593,'2008-10-24 04:12:30'-'2008-10-24 04:13:20',0.00057871,11,005
40.00218533333333,116.32153077777778,0,181.88888888888889,39745.17621527778,2008-10-24,4:13:45,2008-10-24 4:13:45,39745.1759838-39745.17644676,'2008-10-24 04:13:25'-'2008-10-24 04:14:05',0.00046296,9,005
40.000805,116.3216677,0,145.8,39745.17676504631,2008-10-24,4:14:32,2008-10-24 4:14:32,39745.17650463-39745.17702546,'2008-10-24 04:14:10'-'2008-10-24 04:14:55',0.00052083,10,005
39.999641,116.32253840000001,0,101.8,39745.17734375,2008-10-24,4:15:22,2008-10-24 4:15:22,39745.17708333-39745.17760417,'2008-10-24 04:15:00'-'2008-10-24 04:15:45',0.00052084,10,005
39.99961133333333,116.32431877777776,0,106.44444444444444,39745.17789351851,2008-10-24,4:16:10,2008-10-24 4:16:10,39745.17766204-39745.178125,'2008-10-24 04:15:50'-'2008-10-24 04:16:30',0.00046296,9,005
39.999715714285706,116.32617166666667,0,165.04761904761904,39745.17876157407,2008-10-24,4:17:25,2008-10-24 4:17:25,39745.17818287-39745.17934028,'2008-10-24 04:16:35'-'2008-10-24 04:18:15',0.00115741,21,005
40.000234,116.32719750000001,0,164.0,39745.180410879606,2008-10-24,4:19:47,2008-10-24 4:19:47,39745.18038194-39745.18043981,'2008-10-24 04:19:45'-'2008-10-24 04:19:50',5.787e-05,2,005
39.99842357142857,116.32672842857144,0,164.28571428571428,39745.35495949075,2008-10-24,8:31:08,2008-10-24 8:31:08,39745.35458333-39745.35533565,'2008-10-24 08:30:36'-'2008-10-24 08:31:41',0.00075232,14,005
39.99701842857143,116.32679371428571,0,203.71428571428572,39745.35556712963,2008-10-24,8:32:01,2008-10-24 8:32:01,39745.35539352-39745.35574074,'2008-10-24 08:31:46'-'2008-10-24 08:32:16',0.00034722,7,005
39.99563545454544,116.32673490909092,0,248.0909090909091,39745.35608796296,2008-10-24,8:32:46,2008-10-24 8:32:46,39745.35579861-39745.35637731,'2008-10-24 08:32:21'-'2008-10-24 08:33:11',0.0005787,11,005
39.994280545454544,116.32652518181818,0,248.9090909090909,39745.35672453703,2008-10-24,8:33:41,2008-10-24 8:33:41,39745.35643519-39745.35701389,'2008-10-24 08:33:16'-'2008-10-24 08:34:06',0.0005787,11,005
39.99295828571429,116.32631242857143,0,307.42857142857144,39745.357245370375,2008-10-24,8:34:26,2008-10-24 8:34:26,39745.35707176-39745.35741898,'2008-10-24 08:34:11'-'2008-10-24 08:34:41',0.00034722,7,005
39.99165177272727,116.32653090909093,0,248.63636363636363,39745.35801662459,2008-10-24,8:35:32,2008-10-24 8:35:32,39745.35747685-39745.35857639,'2008-10-24 08:34:46'-'2008-10-24 08:36:21',0.00109954,22,005
39.990012375000006,116.32657587500002,0,221.125,39745.358836805564,2008-10-24,8:36:43,2008-10-24 8:36:43,39745.35863426-39745.35903935,'2008-10-24 08:36:26'-'2008-10-24 08:37:01',0.00040509,8,005
39.98862228571428,116.32669642857141,0,197.57142857142858,39745.35927083333,2008-10-24,8:37:21,2008-10-24 8:37:21,39745.35909722-39745.35944444,'2008-10-24 08:37:06'-'2008-10-24 08:37:36',0.00034722,7,005
39.987253125,116.32680275,0,193.625,39745.35970486111,2008-10-24,8:37:58,2008-10-24 8:37:58,39745.35950231-39745.35990741,'2008-10-24 08:37:41'-'2008-10-24 08:38:16',0.0004051,8,005
39.98560888888889,116.32709544444444,0,204.55555555555554,39745.360196759255,2008-10-24,8:38:41,2008-10-24 8:38:41,39745.35996528-39745.36042824,'2008-10-24 08:38:21'-'2008-10-24 08:39:01',0.00046296,9,005
39.984151727272724,116.32709045454548,0,153.27272727272728,39745.36077546295,2008-10-24,8:39:31,2008-10-24 8:39:31,39745.36048611-39745.36106481,'2008-10-24 08:39:06'-'2008-10-24 08:39:56',0.0005787,11,005
39.982855666666666,116.32694066666666,0,128.77777777777777,39745.36135416667,2008-10-24,8:40:21,2008-10-24 8:40:21,39745.36112269-39745.36158565,'2008-10-24 08:40:01'-'2008-10-24 08:40:41',0.00046296,9,005
39.98138250000001,116.32713824999999,0,143.375,39745.361846064814,2008-10-24,8:41:03,2008-10-24 8:41:03,39745.36164352-39745.36204861,'2008-10-24 08:40:46'-'2008-10-24 08:41:21',0.00040509,8,005
39.97995894117647,116.32709882352941,0,112.17647058823529,39745.36254084967,2008-10-24,8:42:03,2008-10-24 8:42:03,39745.36210648-39745.36297454,'2008-10-24 08:41:26'-'2008-10-24 08:42:41',0.00086806,17,005
39.978482099999994,116.32716149999999,0,97.5,39745.36329282408,2008-10-24,8:43:08,2008-10-24 8:43:08,39745.36303241-39745.36355324,'2008-10-24 08:42:46'-'2008-10-24 08:43:31',0.00052083,10,005
39.97711700000001,116.3272356666667,0,116.33333333333333,39745.363842592604,2008-10-24,8:43:56,2008-10-24 8:43:56,39745.36361111-39745.36407407,'2008-10-24 08:43:36'-'2008-10-24 08:44:16',0.00046296,9,005
39.9757024,116.32724909999999,0,85.1,39745.3643923611,2008-10-24,8:44:43,2008-10-24 8:44:43,39745.36413194-39745.36465278,'2008-10-24 08:44:21'-'2008-10-24 08:45:06',0.00052084,10,005
39.97434500000001,116.32735944444443,0,63.44444444444444,39745.364942129614,2008-10-24,8:45:31,2008-10-24 8:45:31,39745.36471065-39745.36517361,'2008-10-24 08:45:11'-'2008-10-24 08:45:51',0.00046296,9,005
39.972923,116.32742820000001,0,113.4,39745.36549189815,2008-10-24,8:46:18,2008-10-24 8:46:18,39745.36523148-39745.36575231,'2008-10-24 08:45:56'-'2008-10-24 08:46:41',0.00052083,10,005
39.97148644444444,116.32751566666667,0,141.55555555555554,39745.36604166667,2008-10-24,8:47:06,2008-10-24 8:47:06,39745.36581019-39745.36627315,'2008-10-24 08:46:46'-'2008-10-24 08:47:26',0.00046296,9,005
39.970113222222224,116.32758311111112,0,149.11111111111111,39745.3665625,2008-10-24,8:47:51,2008-10-24 8:47:51,39745.36633102-39745.36679398,'2008-10-24 08:47:31'-'2008-10-24 08:48:11',0.00046296,9,005
39.9687367,116.3276294,0,126.6,39745.36711226852,2008-10-24,8:48:38,2008-10-24 8:48:38,39745.36685185-39745.36737269,'2008-10-24 08:48:16'-'2008-10-24 08:49:01',0.00052084,10,005
