id,date_list,time,probability,index
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",00:30,"[0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",01:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",02:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",03:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",05:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",05:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",06:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",07:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",08:00,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",10:00,"[0.027777777777777773, 0.0, 0.19444444444444442, 0.22222222222222218, 0.027777777777777773, 0.3611111111111111, 0.0, 0.1388888888888889, 0.0, 0.027777777777777773]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",11:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",11:30,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",12:00,"[0.039505324630711096, 0.039505324630711096, 0.17038818275506698, 0.434558570937822, 0.11851597389213328, 0.07901064926142219, 0.039505324630711096, 0.07901064926142219, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",12:30,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",13:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",13:30,"[0.0, 0.0, 0.043478260869565216, 0.8260869565217391, 0.13043478260869565, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",14:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",14:30,"[0.0, 0.07142857142857142, 0.35714285714285715, 0.07142857142857142, 0.10714285714285712, 0.10714285714285712, 0.0, 0.2857142857142857, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",15:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",16:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",16:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",17:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",18:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",19:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",20:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",21:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",22:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",23:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
166,"['2008-06-01', '2008-05-29', '2008-05-26', '2008-05-27']",24:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
